precedent.jpg,せん / さき,sen / saki,précédent,6
quatre.jpg,し / よん,shi / yon,quatre,5
que_quel_quelle.jpg,なに / なん,nani / nan,que / quel / quelle,7
quelqu_un_une_personne.jpg,しゃ / もの,sha / mono,quelqu'un / une personne,8
reflet_projection.jpg,えい / うつ(る),ei / utsu(ru),reflet / projection,9
riviere_fleuve.jpg,かわ / がわ,kawa / gawa,rivière / fleuve,3
route_chemin.jpg,みち / どう,michi / dou,route / chemin,12
se_reveiller_se_lever.jpg,き / お(きる) / おこ(す),ki / o(kiru) / oko(su),se réveiller / se lever,10
semaine.jpg,しゅう,shuu,semaine,11
sept.jpg,しち / なな,shichi / nana,sept,2
servir.jpg,し,shi,servir,5
six.jpg,ろく,roku,six,4
sol_terre.jpg,ど / つち,do / tsuchi,sol / terre,3
son.jpg,おと / おん,oto / on,son,9
sud.jpg,みなみ / なん,minami / nan,SUD,9
tout_tous_toute(s).jpg,まい,mai,tout / tous / toute(s),6
trois.jpg,さん,san,trois,3
un.jpg,いち,ichi,un,1
venir.jpg,く(る),ku(ru),venir,7
vie.jpg,せい,sei,vie,5
vieux.jpg,こ / ふる(い),ko / furu(i),vieux,5
vivre_habiter.jpg,すむ / じゅう,sumu / juu,vivre / habiter,7
voir_regarder.jpg,み(る),mi(ru),voir / regarder,7
vrai_realite.jpg,しん / ま,shin / ma,vrai / réalité,10
yen.jpg,えん,en,yen,4
